NUMERO> ;NOME>                    ;SNS>       ;ABO;Rh>;SEXO>;DATA NASC.> ;RUA>                    ;CÓD. POSTAL>;LOCALIDADE>     ;PAÍS>        ;E-MAIL>                                   ;TEL.>     ;TELM.>    
123456;Bruno Silva;123456789;O;+;M;25-06-1986;Rua A;4710-383;Braga;Portugal;a47575@alunos.uminho.pt;253269014;938857455
654321;Dora Henriques;123456543;O;+;F;01-01-1984;Rua B;4710-383;Porto;Portugal;a52504@alunos.uminho.pt;253267714;945685829
234598;Sara Martins;652345654;A;+;F;27-05-1976;Rua C;4710-383;Barcelos;Portugal;a52504@mail.alunos.uminho.pt;233104152;932847455
456992;catarina Correia;213462789;A;+;F;04-11-1988;Rua D;4700-383;Lisboa;Portugal;adolfo_mpb@hotmail.com;253269014;967687429
837464;Domingos Machado;234567655;AB;+;M;20-03-1979;Rua E;2712-383;Braga;Portugal;adolfo_mpb@hotmail.com;252277214;942847455
429839;Teresa Nova;345843666;A;+;F;23-12-1980;Rua F;1710-343;Porto;Portugal;adriana.lima0310@gmail.com;253184152;965688829
567393;Humberto Pires;234774634;B;+;M;12-06-1988;Rua G;4711-183;Barcelos;Portugal;agenda.informacao@rtp.pt;243269014;936847255
256748;Daniel José;345654788;B;+;M;25-07-1984;Rua H;4760-713;Lisboa;Portugal;booster84@gmail.com;251277614;955689829
876573;Vânia Santos;823456654;O;+;F;25-08-1986;Rua I;2512-280;Braga;Portugal;mandocosta77@gmail.com;253104152;932847455
298758;Alexandrina Lages;689544367;A;+;F;25-06-1979;Rua J;3710-983;Porto;Portugal;amin_heidari66@yahoo.com;259269014;965680829
256744;Ângelo Martins;673494940;AB;-;M;15-09-1988;Rua K;4750-381;Barcelos;Portugal;vania_santos_@hotmail.com;253217714;962847155
567923;John Doe;212333345;AB;-;M;23-10-1986;Rua L;4711-483;Lisboa;Portugal;psivania@gmail.com;253104152;965681829
478458;Nuno Mendes;345566324;B;-;M;21-11-1984;Rua M;3610-933;Braga;Portugal;SANTOS@portugalmail.com;258269014;932847455
348593;Rui Ferraz;234566543;O;-;M;25-12-1986;Rua N;4710-388;Porto;Portugal;blackangel1983241@hotmail.com;253207714;974682229
387948;Alice Ribeiro;234532455;B;-;F;25-12-1979;Rua O;4712-353;Barcelos;Portugal;anamariamagalhaes83@gmail.com;263104152;932847455
234475;Bruno Silva;234532345;AB;-;M;12-01-1986;Rua P;9711-587;Lisboa;Portugal;anadias@dps.uminho.pt;251279014;983684229
678348;Domingos Machado;234554326;AB;-;M;25-02-1988;Rua Q;3710-883;Braga;Portugal;ana6sentido@gmail.com;283277714;932847455
234587;Dora Henriques;789450203;A;-;F;22-03-1986;Rua R;4752-363;Porto;Portugal;arpac91@gmail.com;253104152;962686829
228495;Sara Martins;123498829;A;-;F;15-04-1984;Rua S;7810-683;Barcelos;Portugal;anarita1991@hotmail.com;253269014;932847455
213450;Sara Vale;123883954;B;-;F;20-05-1979;Rua T;4111-773;Lisboa;Portugal;anamariamagalhaes83@gmail.com;254277714;965686829
421361;Lucius Giles;454234612;A;-;F;05-11-1991;P.O. Box 629, 8320 Lorem Av.;4166-353;Coimbra;Portugal;est.mauris@rutrum.co.uk;265553561;931141385
845809;Ezra Barber;839169401;O;+;M;28-09-1968;Ap #893-3756 Bibendum St.;4983-159;Braga;Portugal;Suspendisse@ligulaDonecluctus.ca;267446484;939261382
668324;Melinda Dunn;491392991;AB;+;M;03-12-1993;557-7715 Convallis St.;4919-254;Barcelos;Portugal;magna.nec.quam@malesuadafames.net;222895964;934298173
181429;Mariko Jacobson;530589980;O;-;M;09-12-1959;Ap #340-4056 Elit, Av.;4441-436;Barcelos;Portugal;tortor@ipsumsodalespurus.org;278564133;928574521
