NOME>                    ;SEXO>;DATA NASC.> ;E-MAIL>                                   
Bruno Silva;M;25-06-1986;a47575@alunos.uminho.pt
Dora Henriques;F;01-01-1984;a52504@alunos.uminho.pt
Sara Martins;F;27-05-1976;a52504@mail.alunos.uminho.pt
catarina Correia;F;04-11-1988;adolfo_mpb@hotmail.com
Domingos Machado;M;20-03-1979;adolfo_mpb@hotmail.com
Teresa Nova;F;23-12-1980;adriana.lima0310@gmail.com
Humberto Pires;M;12-06-1988;agenda.informacao@rtp.pt
Daniel José;M;25-07-1984;booster84@gmail.com
Vânia Santos;F;25-08-1986;mandocosta77@gmail.com
Alexandrina Lages;F;25-06-1979;amin_heidari66@yahoo.com
Ângelo Martins;M;15-09-1988;vania_santos_@hotmail.com
John Doe;M;23-10-1986;psivania@gmail.com
Nuno Mendes;M;21-11-1984;SANTOS@portugalmail.com
Rui Ferraz;M;25-12-1986;blackangel1983241@hotmail.com
Alice Ribeiro;F;25-12-1979;anamariamagalhaes83@gmail.com
Bruno Silva;M;12-01-1986;anadias@dps.uminho.pt
Domingos Machado;M;25-02-1988;ana6sentido@gmail.com
Dora Henriques;F;22-03-1986;arpac91@gmail.com
Sara Martins;F;15-04-1984;anarita1991@hotmail.com
Sara Vale;F;20-05-1979;anamariamagalhaes83@gmail.com
Lucius Giles;F;05-11-1991;est.mauris@rutrum.co.uk
Ezra Barber;M;28-09-1968;Suspendisse@ligulaDonecluctus.ca
Melinda Dunn;M;03-12-1993;magna.nec.quam@malesuadafames.net
Mariko Jacobson;M;09-12-1959;tortor@ipsumsodalespurus.org
Ivory Robbins;F;10-04-1968;arcu.Vestibulum.ut@molestie.net
Igor Sargent;M;02-09-1981;gravida.nunc.sed@euismod.ca
Katelyn Reid;F;13-12-1957;hendrerit@convallisin.ca
Adrian Owen;M;25-11-1978;pede.Cras@anteipsumprimis.co.uk
Vielka Hunt;M;27-02-1993;velit.egestas.lacinia@nonummyut.com
Maryam Lawson;M;28-02-1992;ac.eleifend@Quisquevarius.com
Ayanna Harper;M;16-07-1967;pharetra.felis.eget@augueac.com
Anthony Lara;F;28-02-1955;ullamcorper.velit.in@enim.co.uk
