NUMERO> ;Rh>;SEXO>;E-MAIL>                                   
123456;+;M;a47575@alunos.uminho.pt
654321;+;F;a52504@alunos.uminho.pt
234598;+;F;a52504@mail.alunos.uminho.pt
456992;+;F;adolfo_mpb@hotmail.com
837464;+;M;adolfo_mpb@hotmail.com
429839;+;F;adriana.lima0310@gmail.com
567393;+;M;agenda.informacao@rtp.pt
256748;+;M;booster84@gmail.com
876573;+;F;mandocosta77@gmail.com
298758;+;F;amin_heidari66@yahoo.com
256744;-;M;vania_santos_@hotmail.com
567923;-;M;psivania@gmail.com
478458;-;M;SANTOS@portugalmail.com
348593;-;M;blackangel1983241@hotmail.com
387948;-;F;anamariamagalhaes83@gmail.com
234475;-;M;anadias@dps.uminho.pt
678348;-;M;ana6sentido@gmail.com
234587;-;F;arpac91@gmail.com
228495;-;F;anarita1991@hotmail.com
213450;-;F;anamariamagalhaes83@gmail.com
421361;-;F;est.mauris@rutrum.co.uk
845809;+;M;Suspendisse@ligulaDonecluctus.ca
668324;+;M;magna.nec.quam@malesuadafames.net
181429;-;M;tortor@ipsumsodalespurus.org
265963;-;F;arcu.Vestibulum.ut@molestie.net
251402;-;M;gravida.nunc.sed@euismod.ca
716120;-;F;hendrerit@convallisin.ca
459981;-;M;pede.Cras@anteipsumprimis.co.uk
308332;+;M;velit.egestas.lacinia@nonummyut.com
754132;-;M;ac.eleifend@Quisquevarius.com
647717;-;M;pharetra.felis.eget@augueac.com
338096;-;F;ullamcorper.velit.in@enim.co.uk
796929;-;F;lorem@ipsumleo.com
848433;-;M;lorem.ipsum@ultriciessemmagna.net
540674;+;F;volutpat@tempor.net
817972;-;F;arcu.Curabitur@arcuSedeu.net
626738;+;F;primis.in@eratVivamusnisi.org
755492;-;F;eu.euismod@Fuscealiquetmagna.com
333174;-;M;Cras.eget@euaccumsansed.net
860152;-;M;volutpat.Nulla.dignissim@vestibulumneque.edu
396540;+;F;sollicitudin.adipiscing.ligula@Integertincidunt.net
838297;-;F;enim.commodo.hendrerit@sitamet.org
660661;-;M;malesuada.vel@tellusidnunc.co.uk
637451;-;F;nec.tempus@diamPellentesquehabitant.edu
979480;+;F;Nunc.mauris@aliquetodioEtiam.org
830157;+;M;Aliquam@ipsumnuncid.org
813774;+;F;ut@ornarefacilisiseget.co.uk
108578;+;F;vitae.diam.Proin@gravidamolestiearcu.net
508430;-;M;erat@necluctus.edu
231804;-;M;vulputate@euismod.edu
244459;+;F;ipsum.non.arcu@diamlorem.org
158998;-;M;euismod.est@Namac.co.uk
633935;+;M;sodales@commodohendreritDonec.ca
811557;+;F;Curae@euplacerateget.co.uk
406852;+;M;tristique@acrisus.com
360632;+;M;malesuada@amet.co.uk
633156;-;F;lacus.varius@eratEtiamvestibulum.edu
611615;+;M;morbi.tristique@Morbi.com
170719;+;F;Integer.id.magna@consectetuercursuset.ca
993325;+;F;nisl.elementum@Sedmolestie.org
315147;-;F;magnis@convallisantelectus.com
446031;-;M;Nunc.lectus@vulputate.com
742732;+;F;libero@magnaUttincidunt.com
755807;+;M;est@diam.edu
724399;-;M;libero@Quisque.com
517000;+;M;consectetuer.adipiscing@malesuada.net
309143;-;M;ac.eleifend@magna.ca
447880;-;F;auctor.ullamcorper.nisl@maurisrhoncusid.net
811239;+;F;Sed.malesuada@nequevenenatislacus.edu
672750;-;M;vulputate.posuere.vulputate@liberoProinmi.org
694678;+;M;In.tincidunt.congue@lobortisultricesVivamus.net
626916;+;M;a.purus.Duis@Crasdolor.co.uk
616287;-;M;metus.facilisis@rutrum.net
468958;-;M;auctor@urnaVivamusmolestie.net
109991;-;F;velit.Cras.lorem@eratvel.org
858461;+;M;netus@velturpisAliquam.org
652204;+;F;molestie.Sed.id@orci.edu
548627;-;M;imperdiet.erat.nonummy@idrisusquis.com
246461;+;M;dis@Nam.org
977222;-;M;Ut.nec@augue.ca
497887;+;M;eget.venenatis@nec.ca
692730;+;M;Nam.nulla.magna@mi.org
883619;+;M;ut@venenatis.net
131304;-;M;ante.blandit@aliquamenimnec.edu
206370;+;M;eros.Nam.consequat@Suspendissealiquetsem.org
413020;+;M;ultricies.sem@temporest.co.uk
969194;+;F;augue.eu@loremauctorquis.ca
788972;-;F;et.rutrum@egestas.org
342803;+;M;Lorem@facilisisSuspendissecommodo.ca
443206;+;M;luctus.ipsum@Craseget.ca
908969;-;M;fermentum.arcu.Vestibulum@pharetra.net
815526;-;M;ac@euelit.co.uk
572003;+;F;orci.Ut.sagittis@consectetuerrhoncusNullam.com
523509;+;F;arcu.Aliquam.ultrices@acipsum.co.uk
634202;-;F;vel@acmetusvitae.net
920888;+;F;auctor@quisdiam.co.uk
496405;+;M;non.leo.Vivamus@purus.edu
964282;-;M;metus.In.nec@Fuscefeugiat.co.uk
482228;+;F;nibh@placeratorci.net
550097;+;M;tellus.Suspendisse.sed@Nullamfeugiatplacerat.edu
923858;+;F;eu.erat@aliquamiaculislacus.ca
103039;+;F;a.feugiat@ultriciessemmagna.edu
106969;+;M;mi.Aliquam@montesnasceturridiculus.org
677854;-;F;a.facilisis@metus.ca
163507;+;M;Suspendisse.eleifend.Cras@lobortis.edu
343340;-;M;sagittis.semper.Nam@atnisi.co.uk
272329;-;F;arcu.Aliquam.ultrices@ultricesVivamus.ca
853206;+;F;cursus.et.magna@Phasellusdapibus.ca
