NUMERO> ;NOME>                    ;SNS>       ;ABO;Rh>
123456;Bruno Silva;123456789;O;+
654321;Dora Henriques;123456543;O;+
234598;Sara Martins;652345654;A;+
456992;catarina Correia;213462789;A;+
837464;Domingos Machado;234567655;AB;+
429839;Teresa Nova;345843666;A;+
567393;Humberto Pires;234774634;B;+
256748;Daniel José;345654788;B;+
876573;Vânia Santos;823456654;O;+
298758;Alexandrina Lages;689544367;A;+
256744;Ângelo Martins;673494940;AB;-
567923;John Doe;212333345;AB;-
478458;Nuno Mendes;345566324;B;-
348593;Rui Ferraz;234566543;O;-
387948;Alice Ribeiro;234532455;B;-
234475;Bruno Silva;234532345;AB;-
678348;Domingos Machado;234554326;AB;-
234587;Dora Henriques;789450203;A;-
228495;Sara Martins;123498829;A;-
213450;Sara Vale;123883954;B;-
421361;Lucius Giles;454234612;A;-
845809;Ezra Barber;839169401;O;+
668324;Melinda Dunn;491392991;AB;+
181429;Mariko Jacobson;530589980;O;-
265963;Ivory Robbins;454103101;AB;-
251402;Igor Sargent;161029801;AB;-
716120;Katelyn Reid;220988260;AB;-
459981;Adrian Owen;445775354;A;-
308332;Vielka Hunt;942359019;A;+
754132;Maryam Lawson;476156673;A;-
647717;Ayanna Harper;898014627;B;-
338096;Anthony Lara;585428031;O;-
796929;Stacy Mercer;375794885;A;-
848433;Uta Singleton;563422353;O;-
540674;Keefe Roman;337551938;A;+
817972;Wang Shaffer;828530064;O;-
626738;Remedios Stephenson;978976740;AB;+
755492;Jaquelyn Leach;822968185;B;-
333174;Delilah Hull;368940472;B;-
860152;Madonna Frazier;922625219;B;-
396540;Phillip Crane;908835597;B;+
838297;Zeph Hurst;140329084;B;-
660661;Barbara Chan;751339518;B;-
637451;Odessa Carpenter;990922067;A;-
979480;Mira Singleton;151925758;O;+
830157;Emmanuel Ballard;123348287;AB;+
813774;Berk Guzman;527257587;O;+
108578;Len Greer;976745584;AB;+
508430;Mallory Best;915877007;B;-
231804;Aiko Figueroa;445866354;AB;-
244459;Kim Simon;753123164;AB;+
158998;Lenore Tate;439657672;AB;-
633935;Isabelle Mckee;615649955;A;+
811557;Beverly Willis;312271306;A;+
406852;Stewart Mercer;980465699;AB;+
360632;Cathleen Hinton;796407672;B;+
633156;Ursa Stanton;419739931;O;-
611615;Nyssa Glass;921404559;B;+
170719;Brian Kennedy;641800049;AB;+
993325;Athena Wallace;529081785;B;+
315147;Emma Petersen;315180997;AB;-
446031;Elijah Mcgee;949461994;B;-
742732;Michael Stanton;582977038;A;+
755807;Yoko Singleton;187171412;AB;+
724399;Perry Irwin;228900067;AB;-
517000;Madeson Mckenzie;534140342;O;+
309143;Aimee Cross;187206753;AB;-
447880;Piper Ayala;447269881;B;-
811239;Hanna Edwards;176882649;O;+
672750;Denton Jennings;978145379;AB;-
694678;Raja Humphrey;408008445;A;+
626916;Hashim Oneill;389994692;AB;+
616287;Lucian Mcgowan;962327538;A;-
468958;Madaline Richardson;280646880;A;-
109991;Carter Hampton;978696689;AB;-
858461;Jameson Powell;985863408;B;+
652204;Orson Garrett;658387761;B;+
548627;Bryar Neal;304847270;O;-
246461;Paki Stewart;890118363;AB;+
977222;Selma Guzman;569585139;B;-
497887;Lilah Brennan;894076758;B;+
692730;Jared Rush;797649897;B;+
883619;Shelby Gardner;489323160;O;+
131304;Tatum Rich;897701664;AB;-
206370;Priscilla Jimenez;726007461;A;+
413020;Kylynn Barnes;114412566;A;+
969194;Axel Walter;358522073;B;+
788972;Hope Garcia;831202753;O;-
342803;Athena Walker;381256081;B;+
443206;Maggie Sanders;967761508;O;+
908969;Craig Harper;506067174;AB;-
815526;Whilemina Valdez;622398756;AB;-
572003;Sebastian Rasmussen;711064159;AB;+
523509;Buckminster Fulton;362085437;AB;+
634202;Dawn Farley;724161586;O;-
920888;Sade Calhoun;300741872;AB;+
496405;Jana Pace;712324520;O;+
964282;Irma Dyer;409561536;O;-
482228;Darryl Bass;226516858;B;+
550097;Wynter Wilkinson;177617754;O;+
923858;Vanna Davidson;641645227;O;+
103039;Iola Valdez;935738544;AB;+
106969;Abigail Chan;259531061;O;+
677854;Aubrey Keller;353733302;A;-
163507;Octavius Davenport;210478808;AB;+
343340;Hiram Walls;277771675;O;-
272329;Harper Chavez;175935714;AB;-
853206;Ray Perkins;977375004;AB;+
